Id,ActivityDate,Total_intensity
1503960366,2016-04-12,429
1503960366,2016-04-13,318
1503960366,2016-04-14,293
1503960366,2016-04-15,364
1503960366,2016-04-16,349
1503960366,2016-04-17,318
1503960366,2016-04-18,391
1503960366,2016-04-19,476
1503960366,2016-04-20,313
1503960366,2016-04-21,284
1503960366,2016-04-22,382
1503960366,2016-04-23,427
1503960366,2016-04-24,365
1503960366,2016-04-25,463
1503960366,2016-04-26,418
1503960366,2016-04-27,499
1503960366,2016-04-28,389
1503960366,2016-04-29,315
1503960366,2016-04-30,441
1503960366,2016-05-01,415
1503960366,2016-05-02,430
1503960366,2016-05-03,452
1503960366,2016-05-04,355
1503960366,2016-05-05,433
1503960366,2016-05-06,373
1503960366,2016-05-07,378
1503960366,2016-05-08,351
1503960366,2016-05-09,366
1503960366,2016-05-10,414
1503960366,2016-05-11,393
1624580081,2016-04-12,146
1624580081,2016-04-13,148
1624580081,2016-04-14,236
1624580081,2016-04-15,96
1624580081,2016-04-16,176
1624580081,2016-04-17,216
1624580081,2016-04-18,267
1624580081,2016-04-19,141
1624580081,2016-04-20,151
1624580081,2016-04-21,186
1624580081,2016-04-22,199
1624580081,2016-04-23,227
1624580081,2016-04-24,269
1624580081,2016-04-25,202
1624580081,2016-04-26,140
1624580081,2016-04-27,277
1624580081,2016-04-28,125
1624580081,2016-04-29,150
1624580081,2016-04-30,303
1624580081,2016-05-01,855
1624580081,2016-05-02,199
1624580081,2016-05-03,96
1624580081,2016-05-04,118
1624580081,2016-05-05,117
1624580081,2016-05-06,102
1624580081,2016-05-07,182
1624580081,2016-05-08,152
1624580081,2016-05-09,91
1624580081,2016-05-10,139
1624580081,2016-05-11,112
1624580081,2016-05-12,99
1644430081,2016-04-12,364
1644430081,2016-04-13,257
1644430081,2016-04-14,383
1644430081,2016-04-15,187
1644430081,2016-04-16,449
1644430081,2016-04-17,299
1644430081,2016-04-18,232
1644430081,2016-04-19,385
1644430081,2016-04-20,125
1644430081,2016-04-21,38
1644430081,2016-04-22,86
1644430081,2016-04-23,190
1644430081,2016-04-24,89
1644430081,2016-04-25,120
1644430081,2016-04-26,338
1644430081,2016-04-27,118
1644430081,2016-04-28,342
1644430081,2016-04-29,120
